original_term,normalized,canonical,frequency,is_garbage,level_2,level_2_description,level_3,level_3_description
2D Inversion,2D Inversion,1D Inversion,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Closed-Loop Inverse Kinematics (CLIK),Closed Loop Inverse Kinematic (CLIK),Closed Loop Inverse Kinematic (CLIK),1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Depression Analysis,Inverse Depression Analysi,Inverse Depression Analysi,2,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Gamma Distribution,Inverse Gamma Distribution,Inverse Gamma Distribution,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Geochemical Modeling,Inverse Geochemical Modeling,Inverse Geochemical Modeling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Kinematics,Inverse Kinematic,Inverse Kinematic,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Laplace Transformation,Inverse Laplace Transformation,Inverse Laplace Transformation,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse linear regression,Inverse Linear Regression,Inverse Linear Regression,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Linear Inverse Regression,Linear Inverse Regression,Inverse Linear Regression,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
inverse method,Inverse Method,Inverse Method,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Model,Inverse Model,Inverse Modeling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Modeling,Inverse Modeling,Inverse Modeling,2,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse modeling,Inverse Modeling,Inverse Modeling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse modelling,Inverse Modeling,Inverse Modeling,2,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Perspective Projections,Inverse Perspective Projection,Inverse Perspective Projection,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Prediction,Inverse Prediction,Inverse Prediction,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Problem,Inverse Problem,Inverse Problem,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Procedure,Inverse Procedure,Inverse Procedure,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Regression,Inverse Regression,Inverse Regression,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse regression,Inverse Regression,Inverse Regression,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inverse Techniques,Inverse Technique,Inverse Technique,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inversion Algorithm,Inversion Algorithm,Inversion Algorithm,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inversion Algorithms,Inversion Algorithm,Inversion Algorithm,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Inversion Analysis,Inversion Analysi,Inversion Analysi,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
inversion computation,Inversion Computation,Inversion Computation,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Model inversion,Model Inversion,Model Inversion,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Retrogressive Method,Retrogressive Method,Retrogressive Method,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Reverse Engineering,Reverse Engineering,Reverse Engineering,4,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
reverse engineering,Reverse Engineering,Reverse Engineering,3,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
reverse-modelling,Reverse Modeling,Reverse Modeling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
tsunami flow inversion,Tsunami Flow Inversion,Tsunami Flow Inversion,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-014: Inverse Problem Solving,"This cluster encompasses computational techniques designed to deduce unknown model parameters or causes from observed data, including linear and non-linear inversion, kinematic reconstruction, and statistical inverse modeling."
Adaptive Cluster Sampling,Adaptive Cluster Sampling,Adaptive Cluster Sampling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
Sampling Algorithms,Sampling Algorithm,Sampling Algorithm,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
sampling to redundancy,Sampling To Redundancy,Sampling To Redundancy,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
Snowball sampling,Snowball Sampling,Snowball Sampling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
Statistical Downscaling,Statistical Downscaling,Statistical Downsampling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
statistical downsampling,Statistical Downsampling,Statistical Downsampling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
Stratified Random Sampling,Stratified Random Sampling,Stratified Random Sampling,2,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
stratified random sampling,Stratified Random Sampling,Stratified Random Sampling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
Stratified Sampling,Stratified Sampling,Stratified Sampling,2,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
stratified sampling,Stratified Sampling,Stratified Sampling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
Sub-sampling,Sub Sampling,Sub Sampling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
Subsampling,Subsampling,Subsampling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-050: Stratified and Adaptive Sampling,This cluster encompasses probability-based and adaptive techniques designed to optimize sample selection by ensuring representation across subgroups or iteratively expanding samples based on cluster density.
AH-RJMCMC,AH-RJMCMC,AH-RJMCMC,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-078: Markov Chain Monte Carlo,"This cluster encompasses various algorithms for Bayesian inference and sampling from complex probability distributions, including Gibbs sampling, Metropolis-Hastings, and Reversible Jump MCMC."
Bayesian MCMC,Bayesian MCMC,Bayesian MCMC,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-078: Markov Chain Monte Carlo,"This cluster encompasses various algorithms for Bayesian inference and sampling from complex probability distributions, including Gibbs sampling, Metropolis-Hastings, and Reversible Jump MCMC."
Gibbs sampler,Gibb Sampler,Gibb Sampler,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-078: Markov Chain Monte Carlo,"This cluster encompasses various algorithms for Bayesian inference and sampling from complex probability distributions, including Gibbs sampling, Metropolis-Hastings, and Reversible Jump MCMC."
Gibbs sampling,Gibb Sampling,Gibb Sampling,2,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-078: Markov Chain Monte Carlo,"This cluster encompasses various algorithms for Bayesian inference and sampling from complex probability distributions, including Gibbs sampling, Metropolis-Hastings, and Reversible Jump MCMC."
MCMC-MLE Temporal Exponential Random Graph Models,MCMC MLE Temporal Exponential Random Graph Model,MCMC MLE Temporal Exponential Random Graph Model,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-078: Markov Chain Monte Carlo,"This cluster encompasses various algorithms for Bayesian inference and sampling from complex probability distributions, including Gibbs sampling, Metropolis-Hastings, and Reversible Jump MCMC."
MCMC-modeling,MCMC Modeling,MCMC Modeling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-078: Markov Chain Monte Carlo,"This cluster encompasses various algorithms for Bayesian inference and sampling from complex probability distributions, including Gibbs sampling, Metropolis-Hastings, and Reversible Jump MCMC."
MCMC sampling,MCMC Sampling,MCMC Sampling,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-078: Markov Chain Monte Carlo,"This cluster encompasses various algorithms for Bayesian inference and sampling from complex probability distributions, including Gibbs sampling, Metropolis-Hastings, and Reversible Jump MCMC."
Markov Chain Monte Carlo,Markov Chain Monte Carlo,Markov Chain Monte Carlo,2,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-078: Markov Chain Monte Carlo,"This cluster encompasses various algorithms for Bayesian inference and sampling from complex probability distributions, including Gibbs sampling, Metropolis-Hastings, and Reversible Jump MCMC."
Markov Chain Monte Carlo (MCMC),Markov Chain Monte Carlo (MCMC),Markov Chain Monte Carlo,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-078: Markov Chain Monte Carlo,"This cluster encompasses various algorithms for Bayesian inference and sampling from complex probability distributions, including Gibbs sampling, Metropolis-Hastings, and Reversible Jump MCMC."
Markov chain Monte Carlo,Markov Chain Monte Carlo,Markov Chain Monte Carlo,4,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-078: Markov Chain Monte Carlo,"This cluster encompasses various algorithms for Bayesian inference and sampling from complex probability distributions, including Gibbs sampling, Metropolis-Hastings, and Reversible Jump MCMC."
Markov chain Monte Carlo-based inversion,Markov Chain Monte Carlo Based Inversion,Markov Chain Monte Carlo Based Inversion,1,False,L2-05: Bayesian & Probabilistic Inference,"Frameworks that combine prior knowledge with observed data via Bayes' theorem to produce posterior distributions, including MCMC sampling and hierarchical models. Examples: MCMC, Metropolis-Hastings, Gibbs Sampling, Hierarchical Bayesian Models, Bayesian Networks, Belief Propagation.",L3-078: Markov Chain Monte Carlo,"This cluster encompasses various algorithms for Bayesian inference and sampling from complex probability distributions, including Gibbs sampling, Metropolis-Hastings, and Reversible Jump MCMC."
